+ cd /ocean/projects/cis230065p/ashah12/cautical
+ export PYTHONUNBUFFERED=1
+ PYTHONUNBUFFERED=1
+ python3 run_cadical_experiments.py -j 64 --command time --timeout 1800
Running on 32 files  |  3 base combos x 10 reps  +  3 orderi combos x 1 reps
[UNSAT   ] 19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf base rep2  692.63s  |  build/cadical --report=true --chrono=false --global=true --globalpreprocess=true --globalalphaasort=true --globalalphaagreedy=true --globalrecord=false  --globaltimelim=30 /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf
[UNSAT   ] 19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf base rep4  692.92s  |  build/cadical --report=true --chrono=false --global=true --globalpreprocess=true --globalalphaasort=true --globalalphaagreedy=true --globalrecord=false  --globaltimelim=30 /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf
[UNSAT   ] 21bde0ebb111c637a1ae8789827b0b73-WCNF_from_fp_13.cnf base rep7  331.53s  |  e  --globaltimelim=30 /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/21bde0ebb111c637a1ae8789827b0b73-WCNF_from_fp_1…
[UNSAT   ] 21bde0ebb111c637a1ae8789827b0b73-WCNF_from_fp_13.cnf base rep9  309.21s  |  e  --globaltimelim=30 /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/21bde0ebb111c637a1ae8789827b0b73-WCNF_from_fp_1…
[UNSAT   ] 19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf base rep6  793.99s  |  build/cadical --report=true --chrono=false --global=true --globalpreprocess=true --globalalphaasort=true --globalalphaagreedy=true --globalrecord=false  --globaltimelim=5 /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf
[UNSAT   ] 19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf base rep7  793.96s  |  build/cadical --report=true --chrono=false --global=true --globalpreprocess=true --globalalphaasort=true --globalalphaagreedy=true --globalrecord=false  --globaltimelim=5 /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf
[UNSAT   ] 21bde0ebb111c637a1ae8789827b0b73-WCNF_from_fp_13.cnf base rep9  128.38s  |  e  --globaltimelim=120 /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/21bde0ebb111c637a1ae8789827b0b73-WCNF_from_fp_…
[UNSAT   ] 21bde0ebb111c637a1ae8789827b0b73-WCNF_from_fp_13.cnf base rep7  154.81s  |  e  --globaltimelim=120 /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/21bde0ebb111c637a1ae8789827b0b73-WCNF_from_fp_…
[UNSAT   ] 19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf base rep3  689.61s  |  build/cadical --report=true --chrono=false --global=true --globalpreprocess=true --globalalphaasort=true --globalalphaagreedy=true --globalrecord=false  --globaltimelim=120 /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf
[UNSAT   ] 19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf base rep2  691.83s  |  build/cadical --report=true --chrono=false --global=true --globalpreprocess=true --globalalphaasort=true --globalalphaagreedy=true --globalrecord=false  --globaltimelim=120 /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf
[UNSAT   ] 19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf base rep10 708.40s  |  build/cadical --report=true --chrono=false --global=true --globalpreprocess=true --globalalphaasort=true --globalalphaagreedy=true --globalrecord=false  --globaltimelim=30 /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf
