+ cd /ocean/projects/cis230065p/ashah12/cautical
+ export PYTHONUNBUFFERED=1
+ PYTHONUNBUFFERED=1
+ python3 run_cadical_experiments.py -j 64 --command touch --timeout 1800
Running on 32 files  |  2 base combos x 10 reps  +  2 orderi combos x 1 reps
[TIMEOUT ] 11db226d109e82f93aaa3b2604173ff9-posixpath__joinrealpath_13.cnf base rep9  1800.06s  |  e  --globaltouch=true /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/11db226d109e82f93aaa3b2604173ff9-posixpath__joi…
[TIMEOUT ] 11db226d109e82f93aaa3b2604173ff9-posixpath__joinrealpath_13.cnf base rep6  1800.04s  |  e  --globaltouch=false /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/11db226d109e82f93aaa3b2604173ff9-posixpath__jo…
[TIMEOUT ] 11db226d109e82f93aaa3b2604173ff9-posixpath__joinrealpath_13.cnf base rep1  1800.08s  |  e  --globaltouch=true /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/11db226d109e82f93aaa3b2604173ff9-posixpath__joi…
[TIMEOUT ] 11db226d109e82f93aaa3b2604173ff9-posixpath__joinrealpath_13.cnf base rep5  1800.07s  |  e  --globaltouch=true /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/11db226d109e82f93aaa3b2604173ff9-posixpath__joi…
[TIMEOUT ] 11db226d109e82f93aaa3b2604173ff9-posixpath__joinrealpath_13.cnf base rep9  1800.04s  |  e  --globaltouch=false /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/11db226d109e82f93aaa3b2604173ff9-posixpath__jo…
[TIMEOUT ] 11db226d109e82f93aaa3b2604173ff9-posixpath__joinrealpath_13.cnf base rep3  1800.05s  |  e  --globaltouch=false /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/11db226d109e82f93aaa3b2604173ff9-posixpath__jo…
[TIMEOUT ] 11db226d109e82f93aaa3b2604173ff9-posixpath__joinrealpath_13.cnf base rep8  1800.07s  |  e  --globaltouch=true /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/11db226d109e82f93aaa3b2604173ff9-posixpath__joi…
[TIMEOUT ] 11db226d109e82f93aaa3b2604173ff9-posixpath__joinrealpath_13.cnf base rep10 1800.04s  |  e  --globaltouch=false /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/11db226d109e82f93aaa3b2604173ff9-posixpath__jo…
[TIMEOUT ] 11db226d109e82f93aaa3b2604173ff9-posixpath__joinrealpath_13.cnf base rep3  1800.09s  |  e  --globaltouch=true /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/11db226d109e82f93aaa3b2604173ff9-posixpath__joi…
[TIMEOUT ] 11db226d109e82f93aaa3b2604173ff9-posixpath__joinrealpath_13.cnf base rep1  1800.07s  |  e  --globaltouch=false /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/11db226d109e82f93aaa3b2604173ff9-posixpath__jo…
[TIMEOUT ] 11db226d109e82f93aaa3b2604173ff9-posixpath__joinrealpath_13.cnf base rep7  1800.06s  |  e  --globaltouch=false /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/11db226d109e82f93aaa3b2604173ff9-posixpath__jo…
[TIMEOUT ] 11db226d109e82f93aaa3b2604173ff9-posixpath__joinrealpath_13.cnf base rep6  1800.09s  |  e  --globaltouch=true /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/11db226d109e82f93aaa3b2604173ff9-posixpath__joi…
[TIMEOUT ] 11db226d109e82f93aaa3b2604173ff9-posixpath__joinrealpath_13.cnf base rep8  1800.06s  |  e  --globaltouch=false /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/11db226d109e82f93aaa3b2604173ff9-posixpath__jo…
[TIMEOUT ] 11db226d109e82f93aaa3b2604173ff9-posixpath__joinrealpath_13.cnf base rep2  1800.11s  |  e  --globaltouch=true /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/11db226d109e82f93aaa3b2604173ff9-posixpath__joi…
[UNSAT   ] 37d40a1092b58ad28285b9453872d211-DecompressReader_read_12.cnf base rep4  30.31s  |  e  --globaltouch=true /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/37d40a1092b58ad28285b9453872d211-DecompressRead…
[UNSAT   ] 37d40a1092b58ad28285b9453872d211-DecompressReader_read_12.cnf base rep10 30.31s  |  e  --globaltouch=true /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/37d40a1092b58ad28285b9453872d211-DecompressRead…
[UNSAT   ] 37d40a1092b58ad28285b9453872d211-DecompressReader_read_12.cnf base rep2  30.37s  |  e  --globaltouch=true /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/37d40a1092b58ad28285b9453872d211-DecompressRead…
[UNSAT   ] 37d40a1092b58ad28285b9453872d211-DecompressReader_read_12.cnf base rep3  30.37s  |  e  --globaltouch=true /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/37d40a1092b58ad28285b9453872d211-DecompressRead…
[UNSAT   ] 37d40a1092b58ad28285b9453872d211-DecompressReader_read_12.cnf base rep1  30.46s  |  e  --globaltouch=true /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/37d40a1092b58ad28285b9453872d211-DecompressRead…
[UNSAT   ] 37d40a1092b58ad28285b9453872d211-DecompressReader_read_12.cnf base rep2  31.06s  |  e  --globaltouch=false /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/37d40a1092b58ad28285b9453872d211-DecompressRea…
[UNSAT   ] 37d40a1092b58ad28285b9453872d211-DecompressReader_read_12.cnf base rep7  31.03s  |  e  --globaltouch=false /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/37d40a1092b58ad28285b9453872d211-DecompressRea…
[UNSAT   ] 37d40a1092b58ad28285b9453872d211-DecompressReader_read_12.cnf base rep1  31.06s  |  e  --globaltouch=false /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/37d40a1092b58ad28285b9453872d211-DecompressRea…
[UNSAT   ] 37d40a1092b58ad28285b9453872d211-DecompressReader_read_12.cnf base rep3  31.06s  |  e  --globaltouch=false /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/37d40a1092b58ad28285b9453872d211-DecompressRea…
[UNSAT   ] 37d40a1092b58ad28285b9453872d211-DecompressReader_read_12.cnf base rep6  31.09s  |  e  --globaltouch=false /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/37d40a1092b58ad28285b9453872d211-DecompressRea…
[UNSAT   ] 37d40a1092b58ad28285b9453872d211-DecompressReader_read_12.cnf base rep4  31.10s  |  e  --globaltouch=false /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/37d40a1092b58ad28285b9453872d211-DecompressRea…
[UNSAT   ] 37d40a1092b58ad28285b9453872d211-DecompressReader_read_12.cnf base rep5  31.15s  |  e  --globaltouch=false /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/37d40a1092b58ad28285b9453872d211-DecompressRea…
[UNSAT   ] 37d40a1092b58ad28285b9453872d211-DecompressReader_read_12.cnf base rep8  31.32s  |  e  --globaltouch=false /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/37d40a1092b58ad28285b9453872d211-DecompressRea…
[UNSAT   ] 37d40a1092b58ad28285b9453872d211-DecompressReader_read_12.cnf base rep9  31.86s  |  e  --globaltouch=true /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/37d40a1092b58ad28285b9453872d211-DecompressRead…
[UNSAT   ] 37d40a1092b58ad28285b9453872d211-DecompressReader_read_12.cnf base rep6  31.86s  |  e  --globaltouch=true /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/37d40a1092b58ad28285b9453872d211-DecompressRead…
